item,value
generated_at,2026-05-26T13:02:40
project_folder,/content/drive/MyDrive/GEE_BassCoast_SatelliteEmbedding
output_folder,/content/drive/MyDrive/GEE_BassCoast_SatelliteEmbedding/BassCoast_Phase2_Pixel_Sampling_outputs
random_seed,42
max_samples_per_category,10000
window_size,1024
threshold_sample_stride,8
loaded_raster_count,24
expected_raster_count,24
alignment_passed,True
total_sampled_rows,89707
endpoint_p95,0.4451330006122589
endpoint_p25,0.22927679121494293
variance_p95,0.008427411317825317
variance_p25,0.0011392651358619332
slope_p95,0.018761567771434784
slope_p05,-0.015400705859065056
abs_slope_p25,0.002554419217631221
threshold_sample_stride,8
