section,item,value
metadata,generated_at,2026-05-26T13:03:10
metadata,total_review_points,900
metadata,number_of_categories,9
metadata,target_points_per_category,100
metadata,output_path,/content/drive/MyDrive/GEE_BassCoast_SatelliteEmbedding/BassCoast_Phase2_Pixel_Sampling_outputs/basscoast_phase2b_review_points.csv
category_count,endpoint_hotspot,100
category_count,persistent_ge2,100
category_count,persistent_ge3,100
category_count,high_variance,100
category_count,positive_slope,100
category_count,negative_slope,100
category_count,sudden_candidate,100
category_count,temporary_or_recovery_candidate,100
category_count,stable_control,100
selection_method_count,representative,360
selection_method_count,high_signal,360
selection_method_count,random,180
