dea_level,category,effective_source,point_year_records
level3,ALL,exact_point,717609
level3,ALL,majority_3x3,39
level3,ALL,majority_5x5,8
level3,ALL,missing,0
level3,endpoint_hotspot,exact_point,79987
level3,endpoint_hotspot,majority_3x3,10
level3,endpoint_hotspot,majority_5x5,3
level3,high_variance,exact_point,79597
level3,high_variance,majority_3x3,3
level3,negative_slope,exact_point,79795
level3,negative_slope,majority_3x3,10
level3,negative_slope,majority_5x5,3
level3,persistent_ge2,exact_point,79863
level3,persistent_ge2,majority_3x3,7
level3,persistent_ge2,majority_5x5,2
level3,persistent_ge3,exact_point,79568
level3,positive_slope,exact_point,79766
level3,positive_slope,majority_3x3,2
level3,stable_control,exact_point,80000
level3,sudden_candidate,exact_point,79629
level3,sudden_candidate,majority_3x3,3
level3,temporary_or_recovery_candidate,exact_point,79404
level3,temporary_or_recovery_candidate,majority_3x3,4
level4,ALL,exact_point,717609
level4,ALL,majority_3x3,39
level4,ALL,majority_5x5,8
level4,ALL,missing,0
level4,endpoint_hotspot,exact_point,79987
level4,endpoint_hotspot,majority_3x3,10
level4,endpoint_hotspot,majority_5x5,3
level4,high_variance,exact_point,79597
level4,high_variance,majority_3x3,3
level4,negative_slope,exact_point,79795
level4,negative_slope,majority_3x3,10
level4,negative_slope,majority_5x5,3
level4,persistent_ge2,exact_point,79863
level4,persistent_ge2,majority_3x3,7
level4,persistent_ge2,majority_5x5,2
level4,persistent_ge3,exact_point,79568
level4,positive_slope,exact_point,79766
level4,positive_slope,majority_3x3,2
level4,stable_control,exact_point,80000
level4,sudden_candidate,exact_point,79629
level4,sudden_candidate,majority_3x3,3
level4,temporary_or_recovery_candidate,exact_point,79404
level4,temporary_or_recovery_candidate,majority_3x3,4
