item,value
generated_at,2026-06-22T00:24:52
input,BassCoast_Phase2_Pixel_Sampling_outputs/basscoast_phase2_sampled_pixels.csv
total_points,89707
total_point_year_records,717656
chunk_size,1000
successful_year_records,717656
failed_year_records,0
level3_point_valid_year_records,717609
level4_point_valid_year_records,717609
level3_effective_valid_year_records,717656
level4_effective_valid_year_records,717656
level3_complete_effective_sequences,89707
level4_complete_effective_sequences,89707
level3_complete_effective_sequence_share,1.0
level4_complete_effective_sequence_share,1.0
level3_changed_points,57823
level4_changed_points,79053
coverage_threshold,0.8
coverage_passed,True
warnings,0
dea_probe_csv,BassCoast_Phase3_DEA_LandCover_Pipeline_outputs_full_sample/basscoast_phase3_dea_probe.csv
dea_long_csv,BassCoast_Phase3_DEA_LandCover_Pipeline_outputs_full_sample/basscoast_phase3_dea_long.csv
warnings_csv,BassCoast_Phase3_DEA_LandCover_Pipeline_outputs_full_sample/basscoast_phase3_warnings.csv
effective_source_counts_csv,BassCoast_Phase3_DEA_LandCover_Pipeline_outputs_full_sample/basscoast_phase3_effective_source_counts.csv
runtime_diagnostics_csv,BassCoast_Phase3_DEA_LandCover_Pipeline_outputs_full_sample/basscoast_phase3_runtime_diagnostics.csv
coordinate_diagnostics_csv,BassCoast_Phase3_DEA_LandCover_Pipeline_outputs_full_sample/basscoast_phase3_sample_coordinate_diagnostics.csv
